word,definition
psychologist,"doctor who treats disorders of the mind, thoughts, and
behavior"
psychology,the study of mental action and behavior
psychomotor,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
psychopathy,any disorder of the mind
psychosis,abnormal thinking and/or hallucinations
psychosomatic,"having a connection between the mind and physical
symptoms"
psychotropic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pterygium,unusual fold of film on the eye
puberty,years when the sex organs mature
puerpera,a woman who has just given birth to an infant
puerperal,right after childbirth
puerperium,the first 3 to 6 weeks after childbirth
puff,right
pulmonary,right
pulmonary edema,fluid in the lungs
pulmonary embolism,blood clot in the lungs
pulmonary function testing,breathing tests
pulmonary neoplasm,lung tumor
pulmonologist,right
pulmonology,right
pupil,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pupillometer,tool that measures how wide the pupil is
purchase,right
"purchase
qualified","buy, suited"
purgative,drug used to cause the bowels to empty
purified protein derivative (ppd),substance used in tuberculosis skin test
purpura,"small purple-red marks in skin or other tissue caused
by bleeding"
purulent,"containing pus. can be yellow, green, or brown colour and
may have a strong smell."
pustule,pimple filled with pus
pyelitis,inflammation of the kidney and its pelvis
pyelogram,x-ray of the kidney and ureters
pyelolithotomy,surgery to remove a kidney stone
pyelonephritis,inflammation of the kidney and its pelvis
pyeloplasty,surgery to fix the pelvis of the kidney
pyelostomy,"surgery to make an opening into the pelvis of the
kidney"
pyloric sphincter,"ring of muscles between the stomach and the small
intestine"
pyloromyotomy,"surgery to cut muscles of a pyloric sphincter that is too
narrow"
pyloroplasty,surgery to fix the pyloric sphincter
pylorus,the opening of the stomach into the small intestine
pyosalpinx,pus in the uterine tubes
pyrexia,when you have a high temperature
pyrosis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
pyuria,pus in the urine
qd,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
qid,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
qrc complex,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
qt interval,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
quadriplegia,"loss of muscle movement and loss of feeling in both
arms and legs"
qualified,right
"quandary
radiant","difficulty, problem, bright, glowing"
quarantine,right
quiescent,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
rachiotomy,surgery to cut into a bone or bones of the spine
rachischisis.,birth defect in which there is a groove in the spine
radial keratotomy,surgery to fix nearsightedness
radiation,see ionizing radiation and non-ionizing radiation
radiation therapy,x-ray or cobalt treatment
radiculitis,inflammation of a spinal nerve root
radiography,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
radioimmunoassay,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
radioimmunoassay (ria),"laboratory method to measure a substance, such as a
hormone"
radioisotope,"medicine, special medicine, drug or radioactive"
radiological,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
radiological studies,gamma and ct scans
radiologist,"a doctor who studies x-rays and other images, x-ray"
radiology,x-ray department
radionuclide,"medicine, special medicine or drug"
radius,one of the two lower arm bones
rampant,"raging, unchecked"
random,by chance
randomization,chance selection
randomized,"like the flip of a coin; 50/50 chance of receiving a
study medicine or treatment"
ratify,"accept, approve, sign"
rationale,reason(ing)
reabsorption,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
reaction,response
reagent,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
reassortment,"change, new type of virus"
receive,get
recipient,person who gets something
recognize,"accept, know"
recombinant,new gene combination
reconnaissance,"scouting, spying, survey"
reconstitution,putting back together the original parts or elements
recover,"get back, get bette"
recrudescence,"when someone who seemed better gets sick again,"
rectal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
rectal administration,giving a substance by putting it into the rectum
rectocele,bulging of the rectum into the vagina
rectouterine pouch,pouch in the area between the uterus and the rectum
recuperate,"get bette, get well, rally, recover"
recur,come ba
red blood cell (rbc),"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
red blood cell count,the number of red blood cells in the blood
red blood cell morphology,"the size and shape of individual red blood cells as seen
under a microscope"
reduce,"bring do, cut"
redundant,"extra, not need"
reflux,upward movement
refractory,not responding to treatment
refrain,avoid doing
regarding,about
regarding:,about
regeneration,regrowth of a structure or of lost tissue
regimen,about
register,about
regular,about
regulate,about
regulation,about
regurgitation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
rehabilitate,about
rehabilitation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
reimburse,about
reinforce,about
reiterate,about
relapse,the return of a medical problem
relating to,"about, on"
relief,about
relieve,about
remainder,"others, rest"
remark,say
remission,about
remote,slight
renal,about
renal biopsy,"removing a piece of kidney tissue to look at it under a
microscope"
renal calculi,kidney stones
renal pelvis,place where urine leaves the kidney
renal transplant,kidney transplant
renegade,"criminal, crook, outlaw, rebel"
renogram,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
replicable,possible to duplicate
reprimand,"give a war, scold (nou, warning ("
reproduction,making babies
reproductive,having to do with reproduction
repudiate,"deny, disown, reject"
request,about
require,about
requirements,needs
rescind,about
research study,"a process of collecting information about a specific
question in order to find an answer"
research subject(s),a volunteer(s) taking part in a medical research study
resect,remove or cut out surgically
resection,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
resectoscope,"tool used to remove or biopsy tissue from the urinary
bladder, prostate, or urethra"
resemblance,likeness
resemble,about
reside,about
residence,about
respiration,about
respite,about
respond,answer
restrain,"hold back, stop"
retain,keep
retard,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
retina,innermost layer of the eye
retinal,having to do with the retina
retinal photocoagulation,"use of a laser light to treat disorders of the retina or
tumors in the eye"
retinitis pigmentosa,"eye disorder in which the retina atrophies and vision
gradually worsens"
retinoblastoma,cancer in the eye growing off of the retina
retinopathy,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
retractor,tool used for holding back tissue
retrieve,"bring bac, get back"
retrograde pyelogram,"x-ray of the kidney and ureter made by injecting dye
backward into the ureter"
retrospective study,study looking back over past experience
retrosternal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
reveal,"show, uncover"
review,"check, go over"
revoke,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
reye's syndrome,"serious disorder of children, which often occurs after a
viral infection, affecting the brain, liver, and other
body organs"
reye’s syndrome,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
rhabdomyoma,benign tumor of a muscle
rhabdomyosarcoma,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
rhadomyosarcoma,cancer of a muscle
rheumatic fever,"bacterial disease in which there is fever and
inflammation of the heart, blood vessels, and joints"
rheumatic heart disease,"damage to the heart caused by rheumatic fever,
especially deformed heart valves"
rheumatoid factor,"substance in blood that is measured to check for
rheumatoid arthritis"
rheumatologist,"joint, bone, and immune system doctor"
rheumatology,"study of the immune system, joints, and bones"
rhinitis,runny nose
rhinomycosis,fungus infection in the nose
rhinoplasty,surgery to fix the nose
rhinorrhagia,nosebleed
rhinorrhea,runny nose
rhizotomy,surgery to cut apart a nerve root
rhytidectomy,surgery to remove wrinkles
rhytidoplasty,surgery to remove wrinkles from the face
ribonucleic acid (rna),"genetic material in the body that serve as blueprints for
making proteins"
rigidity,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
risk,chance
risk factor,"a characteristic or actions of an individual which
identify them as having a high likelihood of developing
a specific disease or condition"
rongeur,"tool used for cutting hard tissue, such as bone"
rotavirus,germ causing stomach flu
rubella,german measles
rubeola,measles
rupture,"break, burst, break open"
"rupture
sanguine","break, burst, snap, hopeful"
sacrum,"large triangle-shaped bone at the bottom of the spine
just above the tailbone"
sagittal plane,divides the body into a right and left side
saline,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
saliva,"liquid in the mouth that helps with swallowing food;
spit"
salivary glands,glands that make saliva
salphinx,"tube down which the egg travels from the ovary to the
uterus"
salpingectomy,surgery to remove the uterine tube
salpingitis,inflammation of the uterine tubes
salpingo-oophorectomy,surgery to remove an ovary and uterine tube
salpingocele,uterine tube bulging out of an abnormal opening
salpingocyesis,pregnancy growing in the uterine tube
salpingostomy,"surgery to make an opening into or to open a blockage
of a uterine tube"
sample size,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sanitary,"clean, germ fre, healthful"
sanitize,"clean, clean up, disinfect, make ger, wash"
sarcoma,cancer of connective tissue cells
satisfactorily,(good) enough
saturate,"drench, fill, soak"
saw,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
scab,"when you get a sore or cut, and it starts to heal and goes
hard."
scabies,"itchy skin infection by a microscopic bug called a mite;
mange"
scapula,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
scapule,shoulder blade
scarlatina,scarlet fe
schedule,"plan, planning a time to do something"
schick test,skin test used to detect diphtheria
schizoaffective,"a mixed psychiatric disorder relating to a complex
psychotic state that has features of both schizophrenia
and a mood disorder such as bipolar disorder"
schizophrenia,"psychiatric disorder with symptoms of emotional
instability, detachment from reality, often with
delusions and hallucinations, and withdrawal into the
self"
schizophrenic,"relating to schizophrenia or resulting from
schizophrenia"
sciatica,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
scissors,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sclera,"outer protective layer of the eye; ""whites of the eyes"""
scleral buckling,surgery to fix a detached retina
scleroderma,hardening and thickening of the skin
sclerokeratitis,inflammation of the sclera and the cornea
scleromalacia,"softening of the sclera seen in patients with rheumatoid
arthritis"
sclerosis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sclerotomy,surgery to cut into the sclera
scoliosis,s-shaped (side-to-side) curve of the spine
scratch test,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
screening,"the process of deciding if someone is qualified to take
part in a medical research study or not"
scrotum,pouch that holds the testicles
sebaceous gland,gland that discharges oil into the skin
seborrhea,very oily skin
sector,"group, community, neighborhood"
sedation,calming effect
sedative,a medication to calm or make less anxious
segment,part
seizure,fit of uncontrolled movements
select,"choose, pick"
self-retaining,stays in place without being held
semen,"fluid containing, sperm, which is discharged from the
penis during the climax of sexual intercourse"
semen analysis,test used to count and examine the sperm cells
semicircular canals,channels in the labyrinth of the ear
semilunar valves,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
seminoma,a type of testes cancer
sensation,feeling
sensitive,"easily hurt, easy to damage, sore"
sepsis,blood infection
septicemia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
septoplasty,surgery to fix the wall inside the nose
septotomy,incision into the wall inside the nose
septum,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sequelae,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sequentially,in a row
seroconversion,when your body starts to make cells to fight a
serology,study of blood strength
serosurvey,test to see how likely you are to get a disease
serrations,"small grooves in the edges or tips of tools that help to
hold tissue"
serum,clear liquid part of blood
serum bilirubin,blood test used to detect liver disorder
serum calcium,"blood test used to find out how much calcium is in the
blood"
serum creatine kinase,blood test used to measure creatine
serum enzyme test,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
serum phosphorus,"blood test used to measure the amount of phosphorus
present"
serum test,"blood test used to measure the amount of endocrine
material in the blood"
several,many
severe,"very serious, life threatening"
severity,how bad
"sexually transmitted disease
(std)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sexually transmitted disease (std),disorder spread by sexual contact
sharp,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
shift,change
shingles,"painful, fluid-filled blisters caused by herpes virus
infection"
shock,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
shunt,"artificial or natural channel running between two other
channels"
sialolith,stone in a salivary gland or duct
sickle cell anemia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
side effect,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
side effects,"unwanted or unintended problems with a drug or
treatment"
sigmoid,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sigmoid colon,the lower part of the colon just before the rectum
sigmoidoscope,tool used to look into the sigmoid colon
significance,national emergency
significant,"big, serious, important"
similar,like
single blind(ed),"a medical research study in which the person giving the
treatment, but not the patient, knows which treatment
the patient is receiving"
single dose,getting one dose of medicine
single-blind trial,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sinus,"your heart pumps because it has electricity. the electricity
makes sure your heart beats the right way. the sino-atrial
node (sa node) starts the electricity that starts each
heartbeat. if the sa node is sick, the heart may not beat
properly. when the heart is beating normally this is called
‘sinus rhythm’."
sinusotomy,incision into the sinus
site (of investigation),"the place where the medical research study will be
carried out"
situate,"house, place, put"
situated,placed
skeleton,"the skeleton is all the bones in your body. when you
have a bone scan (x-ray) the machine is taking pictures
of different parts of your skeleton."
skin,"the abnormal growth of skin cells which can attack body
tissue. sometimes this can spread into other parts of the
body."
skull,bones of head that protect the brain
sleep apnea,breathing problems while sleeping
slipped disk,"bulging out of a pad between bones of the spine, which
often causes pinched nerve roots"
small intestine,"the bowel between the stomach and the large intestine,
including the duodenum, jejunum, and ileum"
smooth,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
snare,tool with a wire loop used for removing tissue growth
social history,"exercise, smoking, weight gain, recreational drugs,
sexual activity, family education, income and
employment"
socialize,"bring up, make frien, meet, mingle"
sodium,salt
software,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
solicit,ask for
somatic,having to do with the body
somatogenic,caused by the body (rather than the mind)
somatopathy,disorder of the body as opposed to the mind
somnolence,sleepiness
soporific,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
soreness,"hurt, pain, ache"
spacious,"big, roomy"
spasm,cramp
spasmolytic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
spasticity,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
species,"group of plants or animals, same type, alike"
specific gravity,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
speculum,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sperm,"the male sex cell that joins with a female egg to make a
zygote and eventually a baby"
sphincter,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sphygmocardiograph,tool used to record arterial blood pressure
sphygmomanometer,tool for measuring blood pressure
spina bifida,"birth defect in which the spine does not develop fully
and close up"
spinal cavity,"space inside the spinal column where the spinal cord is
found"
spinal column,"operation on your back bone. you might need this
operation is you have pain from nerves in your back bone."
spinal cord,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
spirometer,"group of plants or animals, same type, alike"
spleen,largest lymph organ in the body
splenectomy,surgery to remove the spleen
splenomegaly,enlarged spleen
splenopexy,surgery to tie down the spleen
spondylosyndesis,fusion of the spine
sponsor,"the company, department, or person who is paying for
the medical research study"
spontaneous,"group of plants or animals, same type, alike"
sporadic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sputum,"fluid and material brought up from the lungs and
windpipe and spit out through the mouth"
squamous cell carcinoma,cancer that usually occurs on the skin or in the lungs
stable,"group of plants or animals, same type, alike"
staging,a determination of the extent of the disease
stamina,"group of plants or animals, same type, alike"
standard of care,"common management of disease, condition"
staphylococcus,type of bacteria
stasis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
state,"group of plants or animals, same type, alike"
state of readiness,now read
status,state
stenosis,narrowing of a channel
stereotactic breast biopsy,"biopsy of breast tissue taken by using a three-
dimensional body map to locate the tissue"
sterility,inability to have children
sterilization,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
sternoclavicular,having to do with the breastbone and the collarbone
sternoid,like the breastbone
sternum,breastbone
steroid,"group of plants or animals, same type, alike"
stethoscope,"tool used to listen to the sounds made by the heart,
lungs, intestines, and other organs"
"stevens-johnson syndrome or toxic
epidermal necrolysis",potentially life threatening skin rash
stigma,"mark, shameful, stain, wound"
stigmatize,mark as d
stimulant,drug used to speed up the central nervous system
stimulate,"arouse, excite, stir up"
stomach,"the first part of the intestines that holds food for
digestion after it is swallowed"
stomatitis,"mouth sores, inflammation of the mouth"
stomatogastric,the mouth and stomach
stool,bowel movement; feces
stool culture,test for bacteria in stool
strabismus,"abnormal position of the eye, as in wall eye or crossed
eyes"
strain,"group of plants or animals, same type, alike"
stratify,"arrange in groups for analysis of results (e.g., stratify
by age, sex, etc.)"
streptococcus,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
streptocoocus,type of bacteria
streptomycin,type of antibiotic
stress,"group of plants or animals, same type, alike"
stricture,area where a tube in the body is too narrow
stringent,"strict, tight"
study phase,how far along the medical research study is
stupor,"stunned state in which it is difficult to get a response or
the attention of the subject"
stye,pimple on the eyelid
subarachnoid,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
subarachnoid haemorrhage,"bleeding into one of the layers under your skull that wraps
around and protects your brain"
subclavian,under the collarbone
subclavicular,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
subcostal,below the ribs
subcutaneous,under the skin
subcutaneous injection,injected under the skin by way of a needle
subdural,below the outer layer of the meniges
sublingual,under the tongue
sublingual administration,"giving a substance by placing it under the tongue (not
to be swallowed) (e.g., nitroglycerin)"
submandibular,below the lower jaw
submaxillary,below the upper jaw
submit,send
subordinate,"assistant, helper, staff"
subscapular,below the shoulder blade
subsequent,"following, later, next"
subsequently,"after that, later"
substance,"group of plants or animals, same type, alike"
"sudden infant death syndrome
(sids)","when a baby dies suddenly in their sleep without being
sick. doctors think that putting babies to sleep on their
backs, making sure they have enough fresh air (no smoking
near them), and enough space (sleeping in their own cots)
helps stop babies dying in their sleep."
suffice,
sufficient,
suffocate,
sulfonamide,type of antibiotic
summon,
superficial,
superior,toward the top of the body
supersede,
supine,lying on the back
supplement,"add to, in addition to, additive, vitamins"
supply,
supportive care,"general medical care aimed at symptoms, not intended
to improve or cure underlying disease"
suppository,"drug that is given by putting it into the rectum, vagina,
or urethra"
suppress,"hold back, stop, slow down"
suprarenal,"above the kidney; or having to do with the adrenal
gland"
suprascapular,above the shoulder blade
supraventricular,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
surgery,operation
surveillance,"keep a close eye on, watch closely, monitor"
susceptible,"more open to, in danger of getting, likely to get"
sutured,stitched
sutures,
sweat glands,structures in and under the skin that makes sweat
swimmer's ear,inflammation of the outer ear canal
sympatholytic,"drug used to slow down the action of certain types of
nerves"
sympathomimetic,"drug used to speed up heart rate, raise blood pressure,
and open up air passages"
symphysis,"type of joint where two bones meet but there is no
movement"
symptom,
symptomatic,having symptoms
symptoms,medical problems which are noticed by a patient
syncope,fainting spell
syndrome,"illness, sickness, set of signs that often go together"
synergism,"combined action of two drugs used together that is
better than using each drug alone"
synoviosarcoma,cancer of the joint
synthesize,"combine, form, summarize"
synthesized,man-made
syphilis,bacterial infection spread by sexual contact
system,having to do with the whole body
systematic,"planned out, orderly, regular"
"systematic
technicality",d
systematically,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
systemic,"throughout your body, in all parts of your body"
"systemic lupus
erythematosus (sle)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
systemic lupus erythematosus,"a type of autoimmune disease. it can cause lots of
problems with joints, blood vessels, and kidneys."
systemic lupus erythematosus (sle),"chronic disorder of connective tissue in which there
can be skin rash, arthritis, kidney problems, and
anemia, among other problems"
systole,"the time when the heart contracts to pump blood to the
body"
systolic,"top number in blood pressure, pressure during active
contraction of the heart"
t-lymphocytes,type of white blood cells
tachycardia,"breathing that is faster than normal. normal is between 12
and 20 breaths every minute."
tachypnea,fast breathing
tailbone,"the tailbone is the lowest part of your backbone. it is made
of 4 very small vertebrae that are joined together, called
the coccyx."
taper,"reduce, slow, lower, shrink, decrease"
tardive,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
tarsal bones,ankle bones
tarsectomy,surgery to remove one or more of the ankle bones
telework,work from home
temperature,how warm or cold a patient’s body is
temporary,"short, brief"
tendinitis,inflammation of tendons
tendon,elastic band that attaches muscle at each end
tendonitis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
tenodynia,pain in a tendon
tenomyoplasty,surgery to stitch together a ripped tendon
tenorrhaphy,surgery to fix a tendon and muscle
tenosynovitis,inflammation of covering layer around a tendon
tenotomy,"surgery to cut tendon of an eye muscle to fix
strabismus"
teratogenic,capable of causing malformations in fetuses
terminal,fatal
terminate,"end, stop"
termination,end
test,
testes,male sex glands
testicle,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
testicle/testis,one of two male sex glands that make sperm
testicular carcinoma,cancer of the testicles
testis,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
tetanus,disease affecting muscles
tetany,muscle cramps caused by a low amount of calcium
tetracycline,type of antibiotic
tetraplegia,"total loss of muscle movement and loss of feeling in
both arms and legs"
thalamus,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
theatre,"this is the place in the hospital or clinic where you have
your operation. sometimes this is also called the ‘operating
room’. sometimes a nurse might say ‘you’re going to
theatre now’ which means they will take you to the
operation now."
therapeutic,healing
therapy,treatment
therefore,so
thigh,"the thigh is the top part of the front of your leg.
it goes from the hip to the knee."
thimerosal,drug or vaccine preservative
thoracalgia,pain in the chest or wall of the chest
thoracentesis,using a needle to remove fluid from the chest cavity
thoracic cavity,"space where the heart, lungs, esophagus, trachea,
bronchi, and thymus are found"
thoracic spine,"the thoracic spine is the part of your backbone between
your neck and waist. there are 12 thoracic vertebrae."
thoracic vertebrae,bones of the spine in back of the chest
thoracoscope,tool used to look into the chest cavity
thoracotomy,surgery to cut into the chest
thorax,the chest
thorough,"complete, good"
throat,"area between the mouth and esophagus that performs
the swallowing action"
thrombocytopenia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
thrombolytic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
thrombosis,blood clotting
thrombus,"a clotting of blood factors that frequently blocks blood
flow"
thymectomy,surgery to remove the thymus
thymoma,tumor of the thymus
thymus,"lymph organ in the chest, which is most active at
puberty, where a type of lymphocyte is made"
thyroid gland,"gland in the neck that makes the thyroid hormones,
which are important in controlling metabolism"
"thyroid-stimulating hormone
(tsh)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
thyroid-stimulating hormone (tsh),hormone that makes the thyroid gland active
thyroidectomy,surgery to remove the thyroid gland
thyroparathyroidectomy,surgery to remove the thyroid and parathyroid glands
thyrotoxicosis,disorder caused by too much thyroid hormone
tibia,the larger of the two lower leg bones; the shin bone
time period,time
tinea,fungal infection of skin; ringworm
tinnitus,"ringing, roaring, buzzing, or clicking noises in the ears"
tissue,group of cells that work together
titer,blood test
titrate,to change the dose/level of a medicine
titration,"slow increase in drug dosage, guided by patient's
responses"
toe,"the small stick-shaped things on the end of our feet are
called toes. toes help you to keep your balance when you
are standing up. they grip the ground when you walk."
tolerability,"how well a patient can stand a particular medicine or
treatment; ability to be used"
tolerance,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
tonometer,tool that measures pressure inside the eye
tonsil,lymphoid tissue in the back of the mouth
tonsillectomy,surgery to remove a tonsil or tonsils
topical,applied to skin; surface
topical anesthetic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
topical application,giving a medication by putting it directly on the skin
torsion,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
toxemia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
toxicity,any harmful effect of a drug or poison
toxicology,study of harmful materials
trabeculectomy,"surgery that makes a place for fluid to drain from the
eye, reducing eye pressure in patients with glaucoma"
trachea,windpipe
tracheitis,inflammation of the windpipe
tracheocystitis,inflammation of the neck of the urinary bladder
tracheoplasty,surgery to fix the windpipe
tracheostomy,"surgery to make a hole through the neck from the
windpipe to the outside of the body"
tranquilizer,drug used to control anxiety
transdermal,through the skin
transdermal patch,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
transform,"alter, change"
"transient ischemic attack
(tia)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
transient ischemic attack (tia),"sudden loss of blood flow to the brain that lasts for a
few minutes to an hour but has no lasting effect"
transiently,temporarily
transitory,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
transmit,send
transparent,see-through
transpire,"happen, take place"
transrectal ultrasound,"ultrasonography of the organs in the belly done using a
probe in the rectum"
transverse plane,divides the body to make a top and bottom
trauma,injury; wound
traumatic,shocking
treadmill,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
treadmill stress test,"test using a walking machine to determine heart
function"
treat,"give care, take care of, cure, heal"
treatment,"action, medicine, therapy"
tremor,shakiness
trichomoniasis,parasite infection that is spread by sexual contact
trichomycosis,fungus infection in the hair
tricupsid valve,"a valve in the heart that controls the flow of blood by
opening and closing with each heart beat"
tricuspid valve,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
tricyclic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
trigger,"cause, starts, something that can bring on symptoms"
tubal ligation,surgery to close the uterine tubes to prevent pregnancy
tuberculin,substance used in skin tests to test for tuberculosis
tuberculosis,"bacterial infection that usually results in a serious lung
disorder"
tumor,"growth, lump"
tumor lysis syndrome,"occurs when many cancer cells are killed quickly, the
intracellular contents (inside these cells) pour into the
blood stream which causes an imbalance in the normal
chemistry of the blood"
tumour,"when a part of a person’s flesh grows fast and not in
a normal way and looks like a lump on your skin. some
tumours are cancer and some are not. sometimes, even if
tumours are not cancer they have to be removed because
they push on nerves and cause pain to stop that part of
the body working properly."
tympanic membrane,eardrum
tympanitis,inflammation of the ear drum
tympanometer,tool used to fix the ear drum
tympanoplasty,surgery to fix the eardrum and bones of the middle ear
ulcer,sore
ulcerative colitis,sores in the colon
ulna,one of the two lower arm bones
ulterior,"secondary, hidden, alternate, further"
ultimate,"final, last"
ultrasonography,"making a picture of internal organs by bouncing sound
waves off them and recording the echoes"
ultrasound,"making a picture of internal organs by bouncing sound
waves off them and recording the echoes"
umbilical region,area around the naval
umbilicus,navel; belly button
uncommonly,rarely
unconscious,not awake and not aware; knocked out
underprivileged,"hard-up, poor"
unequivocal,"clear, plain"
unfavorable,"bad, damaging, harmful"
ungual,having to do with the nails
unilateral,having to do with only one side of a structure
unmistakable,"clear, easy to se, plain"
unnecessary,"needless, not neede"
unpretentious,"humble, modest"
unveil,announce
"upper gastrointestinal (gi)
series","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
upper gi (gastrointestinal) series,"x-ray using a dye to show the upper part of the
digestive system"
"upper respiratory infection
(uri)","the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
upper respiratory infection (uri),lung infection
uptake,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
urbane,"polished, well-bred"
urea,"the urethra is a tube from the bladder to the outside. wee
flows through this tube when you wee (urinate)."
uremia,"build-up of poisons in the blood, usually because of
kidney failure"
ureter,"tube that carries urine from a kidney to the urinary
bladder"
ureterectomy,surgery to remove all or part of a ureter
ureteritis,inflammation of the ureter
ureterocele,"bulging of a ureter taken after putting a dye in it to
outline it"
ureterogram,"x-ray of a ureter taken after putting a dye in it to
outline it"
ureterolithiasis,stones in the ureter
ureterostenosis,narrow area in a ureter
ureterostomy,surgery to make an opening into a ureter
ureterotomy,surgery to cut into a ureter
urethra,"tube that carries urine from the urinary bladder to the
outside of the body"
urethritis,inflammation of the urethra
urethrocystitis,inflammation of the urethra
urethrometer,tool used to measure the urethra
urethropexy,surgery to tie down the urethra
urethroplasty,surgery to fix the urethra
urethrostomy,"surgery to make an opening from the urethra to the
outside of the body"
urgency,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
